1000 1053 
 149 67.6 96.2
 150 13.0 30.4
 151 29.4 72.8
 152 51.3 39.3
 153 96.2 79.8
 154 3.8 9.6
 155 89.5 33.5
 156 79.6 8.7
 157 82.3 45.4
 158 6.8 92.9
 159 99.2 34.5
 160 35.7 79.4
 161 5.1 77.8
 162 55.4 99.0
 163 83.1 17.2
 164 18.9 88.5
 165 44.3 61.3
 166 42.0 84.7
 167 99.4 15.6
 168 45.2 98.7
 169 26.8 90.3
 170 32.2 25.1
 171 75.1 82.6
 172 14.6 90.7
 173 9.1 82.6
 174 5.2 59.5
 175 47.6 56.7
 176 40.7 28.8
 177 73.7 33.5
 178 98.7 65.3
 179 93.1 60.7
 180 91.9 39.4
 181 11.7 10.5
 182 39.0 40.4
 183 59.1 49.6
 184 41.1 46.1
 185 34.9 58.2
 186 61.0 26.8
 187 13.6 67.7
 188 89.7 86.7
 189 26.3 15.1
 190 79.4 3.9
 191 15.4 47.0
 192 31.7 79.7
 193 53.9 84.6
 194 2.3 4.9
 195 29.9 42.8
 196 19.2 29.8
 197 72.5 5.5
 198 41.4 62.4
 199 59.1 38.0
 200 83.1 92.5
 201 23.2 20.9
 202 60.4 20.7
 203 16.5 61.1
 204 54.8 51.4
 205 72.7 54.2
 206 45.0 34.9
 207 73.8 93.8
 208 45.1 77.9
 209 18.8 8.0
 210 17.2 39.0
 211 99.6 11.6
 212 23.9 84.7
 213 10.7 11.8
 214 67.9 93.4
 215 78.8 16.7
 216 55.7 24.4
 217 80.4 40.9
 218 46.2 90.1
 219 41.8 60.2
 220 80.4 62.6
 221 91.8 77.8
 222 4.0 9.3
 223 74.8 77.6
 224 27.2 87.1
 225 72.5 48.4
 226 25.0 74.0
 227 89.3 98.5
 228 45.4 60.6
 229 44.0 3.9
 230 44.7 87.7
 231 50.9 17.2
 232 12.6 8.4
 233 68.7 64.3
 234 98.5 50.5
 235 9.1 89.3
 236 14.3 27.3
 237 54.6 10.9
 238 57.1 92.8
 239 54.5 13.1
 240 15.1 58.2
 241 54.1 91.7
 242 74.7 6.4
 243 76.8 3.5
 244 78.2 16.3
 245 83.3 80.9
 246 17.8 15.6
 247 65.6 24.2
 248 37.4 37.8
 249 83.9 98.4
 250 91.3 53.9
 251 63.3 14.8
 252 46.6 32.6
 253 36.6 52.7
 254 9.9 53.7
 255 38.6 77.9
 256 82.7 51.9
 257 41.6 97.6
 258 30.1 3.4
 259 29.6 95.2
 260 26.1 45.6
 261 51.9 53.6
 262 81.1 62.6
 263 75.0 25.1
 264 31.5 57.1
 265 57.4 77.2
 266 62.3 44.6
 267 30.7 24.4
 268 64.7 50.4
 269 46.5 6.5
 270 5.3 71.8
 271 44.5 75.1
 272 86.0 82.3
 273 90.8 16.8
 274 26.8 86.5
 275 14.7 66.9
 276 78.0 46.5
 277 23.8 47.7
 278 72.1 90.6
 279 73.6 8.9
 280 17.2 99.7
 281 58.6 78.0
 282 0.2 98.3
 283 25.3 35.9
 284 31.9 86.6
 285 11.3 39.3
 286 58.2 41.6
 287 43.3 27.2
 288 45.6 93.9
 289 61.6 74.6
 290 57.1 42.8
 291 58.1 6.0
 292 27.4 44.0
 293 4.5 94.1
 294 52.0 34.2
 295 13.2 23.6
 296 9.3 90.7
 297 28.5 63.9
 298 62.2 51.2
 299 75.3 37.7
 300 50.5 97.7
 301 67.9 91.4
 302 42.5 46.7
 303 38.0 64.3
 304 78.3 93.4
 305 42.4 32.6
 306 3.2 52.0
 307 15.9 16.0
 308 34.0 61.6
 309 1.2 8.2
 310 64.3 60.6
 311 98.3 36.6
 312 77.3 15.1
 313 38.9 75.5
 314 41.1 69.7
 315 61.8 34.9
 316 37.6 33.3
 317 56.2 75.0
 318 21.4 26.9
 319 73.9 10.3
 320 18.0 81.5
 321 80.9 58.4
 322 10.2 76.1
 323 78.0 12.1
 324 30.7 97.1
 325 70.6 59.5
 326 27.1 4.4
 327 27.6 36.4
 328 58.2 59.7
 329 18.6 8.5
 330 66.0 99.4
 331 53.8 29.5
 332 84.3 83.3
 333 50.7 96.6
 334 69.4 63.8
 335 63.4 70.1
 336 63.8 88.3
 337 66.1 10.6
 338 77.9 2.1
 339 81.2 76.7
 340 17.4 40.4
 341 0.7 25.0
 342 45.3 35.7
 343 68.4 79.0
 344 10.5 56.7
 345 68.8 90.8
 346 26.0 56.3
 347 21.2 62.0
 348 33.0 1.3
 349 24.6 92.1
 350 95.2 22.6
 351 93.0 0.6
 352 30.0 39.0
 353 11.0 8.9
 354 78.7 55.8
 355 97.2 61.9
 356 94.8 59.7
 357 37.4 91.3
 358 88.6 39.4
 359 57.5 22.5
 360 63.4 12.9
 361 40.7 54.4
 362 54.3 9.2
 363 17.4 98.6
 364 41.7 73.5
 365 89.8 57.0
 366 59.2 97.7
 367 96.9 96.5
 368 24.0 42.0
 369 56.9 72.9
 370 59.2 57.9
 371 57.3 99.6
 372 9.9 53.9
 373 64.1 77.1
 374 17.2 53.2
 375 13.6 56.8
 376 36.7 47.8
 377 4.3 1.4
 378 72.0 67.9
 379 79.3 81.2
 380 1.3 0.5
 381 53.0 99.9
 382 62.7 36.0
 383 51.4 72.7
 384 98.2 1.5
 385 87.7 29.5
 386 85.0 19.6
 387 2.4 75.4
 388 36.5 20.5
 389 80.3 22.2
 390 91.1 58.5
 391 6.0 28.0
 392 27.4 46.0
 393 81.7 57.0
 394 82.7 64.1
 395 24.2 93.3
 396 37.5 85.0
 397 11.3 92.0
 398 58.1 6.6
 399 90.5 34.6
 400 58.4 29.5
 401 55.7 90.6
 402 5.6 2.6
 403 20.8 15.6
 404 20.8 73.7
 405 65.1 35.8
 406 7.1 35.2
 407 48.8 14.7
 408 78.7 43.1
 409 79.3 47.3
 410 56.8 90.7
 411 91.4 51.6
 412 18.2 69.6
 413 20.6 43.3
 414 67.8 15.9
 415 60.6 95.1
 416 72.2 49.6
 417 32.8 53.0
 418 14.6 86.3
 419 39.9 37.6
 420 25.0 83.2
 421 16.6 95.0
 422 34.7 11.6
 423 22.3 52.2
 424 13.3 3.2
 425 54.0 40.6
 426 48.1 37.3
 427 32.4 0.0
 428 52.8 8.9
 429 53.3 60.4
 430 30.5 99.4
 431 87.7 13.4
 432 90.4 60.7
 433 47.2 31.3
 434 56.6 65.4
 435 14.1 73.0
 436 1.6 71.0
 437 71.7 14.6
 438 81.6 1.4
 439 39.7 30.3
 440 78.4 78.3
 441 77.7 20.0
 442 5.0 30.8
 443 42.2 16.5
 444 32.0 59.1
 445 11.3 78.0
 446 16.5 49.1
 447 68.6 56.1
 448 62.9 11.8
 449 21.7 7.5
 450 52.8 78.0
 451 84.4 2.2
 452 38.4 96.6
 453 16.6 46.7
 454 54.2 67.9
 455 11.8 81.3
 456 35.4 83.2
 457 66.1 4.4
 458 42.6 56.0
 459 26.7 47.8
 460 24.0 71.6
 461 52.8 39.7
 462 60.7 13.6
 463 31.2 20.2
 464 25.3 2.7
 465 17.7 42.8
 466 11.2 27.3
 467 0.2 22.5
 468 89.4 14.8
 469 99.6 49.3
 470 18.1 60.8
 471 74.8 23.9
 472 47.6 69.3
 473 54.8 28.2
 474 78.1 82.9
 475 5.8 66.2
 476 29.4 64.9
 477 63.6 19.1
 478 58.6 86.5
 479 31.1 32.3
 480 3.4 50.8
 481 7.3 7.1
 482 23.0 12.7
 483 93.0 33.7
 484 19.1 12.4
 485 89.0 52.9
 486 94.6 60.8
 487 2.2 93.0
 488 48.2 46.0
 489 72.9 40.5
 490 9.0 91.6
 491 14.1 19.5
 492 99.0 59.5
 493 69.5 88.6
 494 65.1 15.9
 495 28.5 14.2
 496 79.9 18.2
 497 77.1 2.0
 498 75.1 35.9
 499 55.1 1.1
 500 56.6 26.6
 501 4.5 79.7
 502 93.8 29.8
 503 58.1 71.6
 504 41.9 75.4
 505 51.0 29.4
 506 93.3 70.5
 507 3.7 51.9
 508 57.9 65.0
 509 42.6 8.8
 510 74.2 17.5
 511 25.8 28.7
 512 94.3 14.0
 513 17.7 19.4
 514 76.4 29.7
 515 38.6 39.0
 516 2.2 82.8
 517 29.9 31.2
 518 57.5 4.4
 519 87.6 15.4
 520 83.7 39.8
 521 2.4 35.8
 522 25.8 54.3
 523 88.5 91.3
 524 88.5 4.5
 525 4.1 16.8
 526 31.8 0.2
 527 88.6 85.1
 528 42.1 25.5
 529 76.7 90.8
 530 66.1 65.3
 531 60.4 73.6
 532 72.9 28.1
 533 13.6 36.5
 534 70.5 0.5
 535 95.4 15.5
 536 97.6 6.9
 537 83.1 92.8
 538 48.4 52.6
 539 25.1 8.4
 540 45.6 81.3
 541 29.7 74.8
 542 31.6 61.9
 543 71.8 91.1
 544 78.6 5.4
 545 85.2 38.4
 546 17.8 78.3
 547 16.8 35.3
 548 82.2 89.0
 549 65.9 91.6
 550 68.9 14.4
 551 46.9 14.4
 552 64.3 95.9
 553 24.6 42.2
 554 36.2 12.3
 555 10.0 35.9
 556 81.1 47.0
 557 69.3 58.0
 558 53.6 18.7
 559 54.2 22.3
 560 32.2 28.2
 561 5.5 29.5
 562 67.5 58.6
 563 95.8 63.8
 564 76.3 82.4
 565 35.7 35.9
 566 60.6 45.1
 567 34.3 77.9
 568 33.9 68.9
 569 1.2 19.6
 570 58.2 85.3
 571 83.4 1.3
 572 37.5 54.0
 573 89.8 80.1
 574 72.3 85.8
 575 76.4 4.3
 576 99.4 42.2
 577 74.7 43.5
 578 91.8 81.9
 579 89.6 75.4
 580 3.6 59.2
 581 33.2 91.1
 582 50.0 46.7
 583 50.8 65.4
 584 26.0 37.4
 585 23.5 52.0
 586 79.9 22.4
 587 62.1 54.2
 588 25.8 41.5
 589 27.1 49.1
 590 17.3 11.5
 591 9.3 37.1
 592 85.9 82.4
 593 87.9 49.1
 594 77.8 56.8
 595 45.0 50.9
 596 63.9 88.2
 597 12.6 50.9
 598 81.8 69.3
 599 17.4 26.3
 600 7.1 5.0
 601 69.9 28.0
 602 2.0 89.8
 603 98.4 0.6
 604 50.5 68.0
 605 64.3 81.7
 606 70.1 88.5
 607 11.7 62.8
 608 2.5 80.4
 609 61.0 45.8
 610 20.6 98.1
 611 61.2 13.5
 612 22.7 17.4
 613 0.2 90.9
 614 43.0 45.0
 615 21.3 48.6
 616 70.2 53.5
 617 15.0 28.4
 618 77.0 61.2
 619 69.2 46.0
 620 13.1 13.1
 621 5.0 19.9
 622 96.6 95.3
 623 17.6 83.6
 624 28.5 33.3
 625 49.1 19.2
 626 38.2 95.0
 627 98.8 20.1
 628 93.0 29.5
 629 47.6 92.9
 630 54.6 4.9
 631 66.2 57.0
 632 36.0 98.7
 633 43.2 98.1
 634 73.4 59.3
 635 21.5 11.6
 636 14.7 95.5
 637 22.9 67.4
 638 84.1 3.5
 639 8.9 93.1
 640 74.4 73.8
 641 85.6 61.4
 642 46.1 84.5
 643 30.0 30.8
 644 41.4 50.5
 645 76.1 69.9
 646 90.5 73.0
 647 50.2 23.8
 648 79.4 32.6
 649 76.5 74.8
 650 35.5 70.2
 651 82.3 5.9
 652 9.3 13.3
 653 73.3 99.0
 654 81.0 19.9
 655 73.5 38.2
 656 1.7 55.4
 657 65.8 84.6
 658 85.7 38.3
 659 6.0 50.6
 660 87.3 33.2
 661 90.0 24.5
 662 3.8 72.6
 663 70.0 24.9
 664 97.5 5.4
 665 0.2 97.8
 666 99.1 9.2
 667 12.1 8.5
 668 74.9 45.9
 669 44.7 43.2
 670 17.4 79.2
 671 1.4 28.5
 672 58.5 35.4
 673 20.3 76.7
 674 70.8 87.1
 675 77.4 56.2
 676 57.6 13.4
 677 82.1 63.3
 678 17.5 15.5
 679 21.6 74.3
 680 92.4 54.7
 681 72.6 39.5
 682 4.3 47.2
 683 65.2 15.6
 684 60.4 44.4
 685 52.1 66.3
 686 38.8 35.5
 687 40.8 88.5
 688 61.9 11.5
 689 63.1 93.9
 690 10.4 20.4
 691 82.6 72.5
 692 46.9 24.8
 693 63.4 17.1
 694 41.5 93.5
 695 18.1 33.5
 696 44.3 97.7
 697 58.0 27.7
 698 61.6 74.4
 699 70.9 12.1
 700 59.9 54.0
 701 76.3 9.9
 702 98.5 27.2
 703 91.6 97.0
 704 58.1 41.1
 705 37.3 4.4
 706 96.7 72.4
 707 89.5 61.5
 708 83.7 96.9
 709 30.4 35.6
 710 89.9 38.1
 711 50.3 71.2
 712 41.7 35.9
 713 12.1 40.9
 714 65.2 99.6
 715 93.8 77.1
 716 65.6 86.6
 717 30.0 76.6
 718 68.7 4.5
 719 15.9 50.5
 720 13.2 46.9
 721 34.5 34.4
 722 86.6 52.1
 723 77.6 59.4
 724 36.5 3.1
 725 27.0 11.8
 726 20.6 56.9
 727 79.7 35.7
 728 4.0 33.0
 729 65.1 83.6
 730 72.5 19.4
 731 14.5 45.8
 732 10.7 5.2
 733 6.3 37.3
 734 0.4 13.6
 735 29.9 50.8
 736 66.8 70.6
 737 36.9 9.8
 738 30.4 82.9
 739 83.7 65.2
 740 17.0 99.5
 741 28.1 1.2
 742 82.1 69.6
 743 32.0 44.3
 744 91.1 50.7
 745 25.3 95.4
 746 50.8 68.8
 747 68.7 67.8
 748 1.2 79.3
 749 28.7 51.1
 750 65.3 45.0
 751 15.1 51.8
 752 90.7 15.7
 753 18.2 52.0
 754 14.7 50.0
 755 10.5 77.1
 756 82.3 87.2
 757 0.1 80.7
 758 23.9 22.7
 759 27.8 39.8
 760 2.4 69.2
 761 23.8 14.2
 762 1.9 8.9
 763 59.0 65.8
 764 100.0 15.2
 765 54.9 52.8
 766 58.3 70.4
 767 42.4 30.5
 768 10.8 69.2
 769 94.7 89.8
 770 51.7 78.0
 771 8.1 21.0
 772 92.7 46.5
 773 93.9 21.6
 774 19.3 73.6
 775 50.3 15.7
 776 70.9 19.4
 777 3.5 87.7
 778 37.1 65.5
 779 52.9 56.7
 780 47.2 73.4
 781 78.1 45.6
 782 72.1 56.1
 783 20.1 92.6
 784 92.8 52.5
 785 38.8 39.4
 786 14.1 62.7
 787 98.0 76.5
 788 12.4 95.6
 789 97.1 95.4
 790 91.4 28.8
 791 72.6 4.2
 792 8.9 37.5
 793 79.3 48.0
 794 37.5 18.1
 795 69.4 44.9
 796 96.2 25.3
 797 42.2 46.6
 798 52.0 77.1
 799 40.7 78.3
 800 58.9 95.6
 801 41.8 87.0
 802 64.3 76.5
 803 50.8 61.7
 804 89.7 52.4
 805 41.8 44.8
 806 71.2 21.6
 807 39.9 69.4
 808 83.8 36.1
 809 54.0 57.7
 810 25.2 21.4
 811 82.0 44.3
 812 65.8 55.5
 813 21.9 42.6
 814 18.6 67.2
 815 79.0 83.2
 816 8.9 19.0
 817 5.7 90.9
 818 70.6 39.9
 819 91.3 47.0
 820 13.0 46.0
 821 62.3 19.6
 822 89.7 7.6
 823 57.4 59.8
 824 31.8 33.9
 825 44.3 13.7
 826 45.8 20.4
 827 91.8 34.0
 828 80.8 73.1
 829 14.3 39.1
 830 56.6 43.8
 831 85.5 65.8
 832 35.4 73.7
 833 18.5 37.2
 834 85.1 7.2
 835 61.8 16.8
 836 57.6 82.4
 837 1.9 97.9
 838 2.5 48.5
 839 2.0 80.9
 840 19.2 76.2
 841 70.3 64.6
 842 14.9 97.8
 843 79.9 20.9
 844 95.7 92.2
 845 42.8 97.3
 846 55.0 92.9
 847 51.6 51.6
 848 15.1 81.7
 849 11.0 47.5
 850 12.2 34.6
 851 11.0 7.1
 852 15.7 30.8
 853 31.1 59.7
 854 78.6 28.9
 855 38.1 76.1
 856 0.3 94.7
 857 82.6 41.2
 858 74.5 47.6
 859 13.8 64.3
 860 78.6 26.1
 861 98.4 86.9
 862 5.2 58.1
 863 91.6 8.9
 864 81.1 78.1
 865 42.8 92.3
 866 17.1 71.3
 867 24.5 13.0
 868 68.7 20.6
 869 85.8 68.3
 870 84.8 60.9
 871 45.9 20.1
 872 29.6 29.4
 873 7.4 94.3
 874 85.0 56.9
 875 36.8 39.9
 876 0.6 70.3
 877 5.6 61.9
 878 13.4 67.6
 879 0.5 26.8
 880 63.4 77.3
 881 23.3 93.2
 882 42.7 75.1
 883 55.6 3.6
 884 17.9 28.2
 885 15.0 25.8
 886 67.3 70.5
 887 16.0 6.6
 888 93.0 40.7
 889 69.7 16.1
 890 39.8 48.2
 891 28.0 97.6
 892 96.6 50.6
 893 0.0 12.7
 894 65.4 0.1
 895 6.9 42.6
 896 62.7 94.2
 897 16.2 28.2
 898 28.1 48.5
 899 98.9 10.6
 900 29.8 79.2
 901 59.8 27.3
 902 40.5 74.3
 903 36.7 3.6
 904 95.6 75.6
 905 84.7 8.4
 906 78.0 24.3
 907 5.3 99.9
 908 60.0 1.1
 909 11.2 63.1
 910 39.0 9.9
 911 12.1 85.1
 912 40.3 57.4
 913 1.4 40.5
 914 10.1 54.6
 915 44.8 60.5
 916 5.0 76.4
 917 7.9 75.2
 918 14.0 61.7
 919 9.8 5.1
 920 99.5 58.5
 921 7.3 14.5
 922 30.3 22.1
 923 4.3 34.0
 924 21.0 74.9
 925 47.1 38.9
 926 15.8 96.8
 927 64.2 64.1
 928 51.9 74.9
 929 82.2 3.9
 930 70.9 98.2
 931 66.9 26.4
 932 94.0 82.0
 933 63.4 28.4
 934 38.0 46.8
 935 89.1 35.9
 936 62.3 4.6
 937 83.4 60.0
 938 0.5 27.0
 939 16.5 60.0
 940 61.0 38.8
 941 64.0 17.1
 942 95.5 60.6
 943 91.4 69.7
 944 22.2 10.3
 945 56.5 20.9
 946 26.2 91.1
 947 26.0 31.0
 948 80.2 56.8
 949 35.0 93.9
 950 41.0 89.1
 951 25.3 74.7
 952 5.9 15.9
 953 24.1 84.4
 954 22.1 9.7
 955 72.8 34.6
 956 38.9 72.5
 957 29.0 33.2
 958 83.8 78.1
 959 2.1 88.2
 960 75.7 10.6
 961 19.8 24.0
 962 12.4 34.1
 963 3.2 23.4
 964 23.0 23.3
 965 50.5 30.9
 966 9.3 69.8
 967 96.3 44.0
 968 86.0 1.6
 969 11.5 84.4
 970 85.7 43.0
 971 27.4 9.5
 972 82.8 87.9
 973 88.6 56.4
 974 8.1 83.3
 975 29.8 55.1
 976 55.7 70.2
 977 71.6 2.8
 978 85.0 96.8
 979 31.8 93.8
 980 28.9 66.4
 981 90.7 36.5
 982 3.3 78.8
 983 1.8 66.4
 984 80.2 61.8
 985 72.6 66.9
 986 13.1 93.2
 987 55.5 30.1
 988 23.7 16.0
 989 37.2 47.4
 990 15.2 86.0
 991 77.1 59.6
 992 25.4 17.4
 993 20.8 98.8
 994 60.9 0.3
 995 1.0 46.8
 996 46.6 84.6
 997 50.6 27.5
 998 93.3 1.4
 999 56.1 70.8
 580 656
 381 682
 828 987
 345 817
 954 996
 143 631
 50 525
 292 410
 169 207
 766 937
 245 683
 152 574
 12 842
 311 598
 805 867
 240 988
 46 514
 331 535
 744 928
 232 989
 228 533
 375 888
 553 834
 241 889
 722 918
 566 859
 260 290
 401 587
 50 370
 189 404
 596 666
 381 618
 519 981
 491 916
 376 633
 322 507
 229 331
 47 277
 318 369
 43 535
 224 636
 141 573
 290 832
 173 251
 35 762
 240 391
 117 818
 553 969
 50 707
 427 594
 41 878
 258 920
 302 506
 80 634
 54 859
 799 958
 188 665
 253 419
 413 507
 616 817
 356 636
 226 888
 251 973
 393 524
 245 830
 494 998
 375 991
 870 979
 173 831
 350 384
 35 996
 483 607
 207 995
 264 328
 154 273
 432 939
 57 800
 693 936
 525 846
 324 926
 481 982
 42 354
 108 269
 376 938
 72 404
 293 923
 733 812
 31 823
 628 693
 97 446
 483 499
 386 657
 31 179
 680 876
 174 843
 47 872
 112 371
 224 540
 684 864
 416 587
 410 455
 644 865
 338 667
 437 491
 352 631
 878 993
 653 826
 271 641
 191 759
 528 796
 243 898
 211 775
 411 619
 453 739
 116 447
 258 704
 104 340
 527 776
 271 653
 388 420
 9 782
 44 129
 162 502
 152 707
 534 869
 1 906
 26 698
 465 761
 616 812
 55 116
 347 953
 564 752
 67 133
 461 504
 238 290
 564 875
 557 671
 508 751
 410 836
 865 945
 598 925
 423 988
 337 840
 17 872
 198 458
 835 983
 348 675
 530 726
 134 994
 448 936
 345 561
 93 704
 417 854
 197 918
 288 690
 629 641
 158 344
 43 390
 222 300
 405 717
 54 345
 581 854
 503 679
 509 728
 433 744
 470 881
 466 773
 769 790
 10 882
 22 746
 108 475
 598 928
 463 923
 634 740
 732 778
 302 882
 671 889
 178 972
 89 485
 153 330
 56 854
 68 523
 124 397
 0 213
 102 394
 10 850
 736 963
 388 737
 621 821
 447 766
 855 949
 448 673
 671 936
 396 657
 4 889
 392 470
 236 979
 670 828
 662 741
 725 788
 106 496
 26 450
 404 823
 267 783
 253 620
 259 339
 77 285
 159 980
 525 757
 44 411
 62 848
 376 758
 299 751
 121 787
 245 454
 427 795
 289 392
 373 542
 656 894
 463 783
 511 702
 231 939
 68 948
 189 576
 111 692
 747 945
 61 898
 375 381
 833 984
 138 388
 448 975
 551 752
 115 519
 96 884
 35 152
 68 626
 481 650
 218 843
 68 749
 65 70
 248 404
 9 312
 298 845
 175 461
 306 399
 296 529
 137 602
 646 846
 487 919
 141 145
 150 829
 159 582
 10 122
 190 506
 404 683
 33 805
 40 362
 471 885
 116 715
 584 787
 29 187
 154 966
 481 741
 281 691
 104 529
 43 198
 72 895
 385 419
 526 646
 239 596
 553 828
 179 944
 585 951
 443 653
 486 814
 168 576
 262 723
 159 550
 128 577
 507 820
 674 996
 355 700
 62 351
 675 961
 469 815
 681 919
 871 990
 201 907
 202 658
 717 828
 848 889
 326 448
 558 658
 206 646
 708 712
 42 980
 570 838
 49 139
 730 961
 209 842
 59 132
 358 435
 589 676
 677 753
 373 660
 347 867
 247 285
 580 835
 172 743
 53 124
 743 993
 809 934
 252 539
 474 882
 85 616
 637 794
 658 927
 578 642
 485 832
 228 422
 770 900
 632 736
 279 868
 547 560
 774 841
 289 967
 351 577
 656 857
 292 513
 394 518
 527 790
 278 704
 492 556
 38 738
 629 719
 31 975
 90 270
 492 679
 85 783
 132 390
 629 842
 494 840
 104 357
 406 994
 650 776
 60 97
 605 762
 506 850
 397 966
 235 881
 195 314
 88 768
 8 357
 814 931
 360 937
 457 978
 8 278
 165 308
 190 668
 130 642
 271 913
 106 196
 387 528
 257 490
 544 950
 897 959
 507 692
 100 557
 104 246
 691 740
 158 958
 85 350
 497 790
 287 633
 473 578
 3 926
 345 376
 942 987
 445 607
 328 750
 107 281
 783 817
 527 773
 203 650
 133 888
 140 814
 144 213
 233 457
 84 324
 100 326
 359 727
 17 977
 52 968
 487 774
 83 649
 410 690
 377 757
 225 760
 425 838
 441 912
 611 833
 766 786
 120 581
 319 970
 198 408
 277 532
 72 718
 47 925
 158 727
 170 466
 46 609
 100 306
 13 612
 355 587
 326 900
 411 719
 129 871
 162 423
 1 259
 708 719
 615 909
 268 381
 540 549
 175 571
 204 873
 98 546
 407 740
 520 900
 159 326
 685 961
 678 924
 563 565
 27 183
 485 716
 786 814
 123 950
 53 55
 2 467
 413 467
 49 957
 37 581
 146 187
 354 602
 434 480
 559 920
 160 643
 528 744
 705 863
 670 678
 446 631
 47 554
 679 801
 213 547
 258 359
 355 400
 342 512
 24 883
 82 799
 137 742
 306 401
 511 886
 659 978
 224 655
 225 406
 295 388
 731 778
 145 281
 494 803
 579 737
 11 475
 295 877
 737 954
 720 955
 326 924
 364 607
 283 687
 493 897
 23 184
 84 395
 68 763
 163 769
 99 444
 538 702
 326 971
 44 317
 134 192
 877 909
 80 331
 304 744
 252 283
 450 462
 278 767
 731 881
 15 876
 402 905
 251 456
 283 289
 384 591
 563 914
 74 493
 361 953
 460 546
 315 945
 9 496
 15 721
 18 492
 190 889
 457 877
 59 611
 683 716
 227 459
 384 515
 730 761
 380 986
 325 620
 637 708
 426 552
 693 876
 977 979
 66 907
 361 921
 5 898
 89 506
 47 812
 11 581
 688 938
 162 796
 122 427
 18 750
 393 646
 193 647
 352 650
 760 782
 270 505
 570 931
 158 904
 10 552
 321 568
 787 818
 573 934
 549 858
 697 823
 388 928
 61 951
 337 367
 555 863
 79 991
 271 549
 52 835
 54 261
 317 966
 229 477
 156 799
 133 922
 234 365
 147 329
 702 852
 606 808
 718 977
 430 441
 142 918
 769 917
 511 682
 308 525
 105 368
 468 815
 487 606
 143 593
 496 552
 82 730
 134 243
 254 884
 128 296
 246 440
 302 687
 71 272
 58 609
 383 726
 229 691
 721 962
 466 634
 120 703
 411 662
 356 741
 380 504
 83 619
 79 362
 404 461
 52 294
 3 454
 4 249
 126 208
 676 677
 5 937
 44 494
 38 934
 671 908
